dbn,school_name,boro,total_students
04M409,Coalition School for Social Change,Manhattan,311
04M435,Manhattan Center for Science and Mathematics,Manhattan,1588
04M495,Park East High School,Manhattan,409
04M555,Central Park East High School,Manhattan,479
04M610,Young Women's Leadership School,Manhattan,464
04M680,"Heritage School, The",Manhattan,351
05M157,The Urban Assembly School for Global Commerce,Manhattan,82
05M304,Mott Hall High School,Manhattan,425
05M362,Columbia Secondary School,Manhattan,664
05M367,Academy for Social Action: A College Board School,Manhattan,309
05M369,Urban Assembly School for the Performing Arts,Manhattan,354
05M499,Frederick Douglass Academy,Manhattan,1489
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,572
05M692,"High School for Mathematics, Science and Engineering at City College",Manhattan,456
06M211,Inwood Early College for Health and Information Technologies,Manhattan,0
06M293,City College Academy of the Arts,Manhattan,593
06M346,Community Health Academy of the Heights,Manhattan,600
06M348,Washington Heights Expeditionary Learning School,Manhattan,650
06M423,High School for Excellence and Innovation,Manhattan,223
06M462,The College Academy,Manhattan,546
06M463,High School for Media and Communications,Manhattan,523
06M467,High School for Law and Public Service,Manhattan,679
06M468,High School for Health Careers and Sciences,Manhattan,624
06M540,A. Philip Randolph Campus High School,Manhattan,1360
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,491
07X221,South Bronx Preparatory: A College Board School,Bronx,644
07X223,M.S. 223 The Laboratory School of Finance and Technology,Bronx,451
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",Bronx,126
07X334,International Community High School,Bronx,437
07X427,Community School for Social Justice,Bronx,335
07X473,Mott Haven Village Preparatory High School,Bronx,344
07X495,University Heights Secondary School,Bronx,466
07X500,Hostos-Lincoln Academy of Science,Bronx,537
07X520,Foreign Language Academy of Global Studies,Bronx,189
07X522,Bronx Design and Construction Academy,Bronx,429
07X527,Bronx Leadership Academy II High School,Bronx,515
07X547,New Explorers High School,Bronx,463
07X548,Urban Assembly School for Careers in Sports,Bronx,575
07X551,The Urban Assembly Bronx Academy of Letters,Bronx,584
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,390
07X670,Health Opportunities High School,Bronx,577
08X269,Bronx Studio School for Writers and Artists,Bronx,540
08X282,Women's Academy of Excellence,Bronx,395
08X293,Renaissance High School for Musical Theater & Technology,Bronx,454
08X305,Pablo Neruda Academy,Bronx,335
08X312,Millennium Art Academy,Bronx,496
08X320,Pelham Lab High School,Bronx,95
08X332,Holcombe L. Rucker School of Community Research,Bronx,261
08X348,Schuylerville Preparatory High School,Bronx,95
08X349,Bronx River High School,Bronx,101
08X367,"Archimedes Academy for Math, Science and Technology Applications",Bronx,637
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Bronx,466
08X405,Herbert H. Lehman High School.,Bronx,2059
08X432,BRONX BRIDGES HIGH SCHOOL,Bronx,313
08X452,Bronx Guild,Bronx,315
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",Bronx,341
08X530,Banana Kelly High School,Bronx,364
08X558,Westchester Square Academy,Bronx,251
08X559,School for Tourism and Hospitality,Bronx,161
08X561,Bronx Compass High School,Bronx,195
09X227,Bronx Collegiate Academy,Bronx,356
09X231,Eagle Academy for Young Men,Bronx,645
